,city_state,donor_counts
0,"New York, NY",94165
1,"San Francisco, CA",56619
2,"Chicago, IL",36126
3,"Los Angeles, CA",26553
4,"Brooklyn, NY",21502
5,"Seattle, WA",19337
6,"Indianapolis, IN",13110
7,"Springfield, IL",12963
8,"Washington, DC",10455
9,"West Berlin, NJ",10068
10,"Oklahoma City, OK",9957
11,"Baltimore, MD",9494
12,"Zionsville, IN",9250
13,"Charlotte, NC",8587
14,"Memphis, TN",8454
15,"Houston, TX",7213
16,"Philadelphia, PA",6402
17,"Berkeley, CA",5834
18,"Dallas, TX",5822
19,"Atlanta, GA",5650
20,"Tampa, FL",5639
21,"Portland, OR",5536
22,"Oakland, CA",5527
23,"Phoenix, AZ",5466
24,"San Jose, CA",5235
25,"Raleigh, NC",5043
26,"San Diego, CA",4976
27,"Austin, TX",4599
28,"Las Vegas, NV",4428
29,"Alexandria, VA",4391
30,"Murrieta, CA",4335
31,"Tulsa, OK",4320
32,"San Antonio, TX",4297
33,"Arlington, VA",4244
34,"Denver, CO",4020
35,"Durham, NC",3962
36,"Bakersfield, CA",3902
37,"Kansas City, MO",3472
38,"Chapel Hill, NC",3462
39,"New Orleans, LA",3306
40,"Boston, MA",3282
41,"Dillon, SC",3247
42,"Escondido, CA",3163
43,"St. Louis, MO",3111
44,"San Ramon, CA",3071
45,"Etowah, NC",3047
46,"Milwaukee, WI",2909
47,"Renton, WA",2779
48,"Orlando, FL",2748
49,"Coral Springs, FL",2693
50,"Claremont, CA",2619
51,"Palo Alto, CA",2618
52,"Bronx, NY",2576
53,"Cary, NC",2562
54,"Columbus, GA",2536
55,"Danvers, MA",2512
56,"Pittsburgh, PA",2504
57,"Lincolnshire, IL",2456
58,"Twain Harte, CA",2454
59,"Gothenburg, SWEDEN, ME",2397
60,"Albuquerque, NM",2304
61,"Nashville, TN",2238
62,"Cherry Hill, NJ",2233
63,"Savannah, GA",2203
64,"new york, NY",2197
65,"Greensboro, NC",2120
66,"Chantilly, VA",2119
67,"Little Rock, AR",2092
68,"Tucson, AZ",2086
69,"Henderson, NV",2069
70,"NY, NY",2007
71,"Fort Worth, TX",1984
72,"Sacramento, CA",1961
73,"Long Beach, CA",1958
74,"Peachtree City, GA",1921
75,"Santa Monica, CA",1914
76,"Framingham, MA",1908
77,"Arcadia, CA",1892
78,"Miami, FL",1889
79,"Rockville, MD",1876
80,"Minneapolis, MN",1871
81,"Irvine, CA",1836
82,"Greenville, SC",1833
83,"Richmond, VA",1818
84,"Evanston, IL",1817
85,"Blackfoot, ID",1803
86,"Wakefield, MA",1748
87,"Cambridge, MA",1743
88,"Louisville, KY",1716
89,"Sunnyvale, CA",1713
90,"Lake Elsinore, CA",1684
91,"Cincinnati, OH",1679
92,"Torrance, CA",1676
93,"Honolulu, HI",1652
94,"Anchorage, AK",1644
95,"Mountain View, CA",1622
96,"Poulsbo, WA",1565
97,"Rockford, IL",1529
98,"chicago, IL",1525
99,"Brownsburg, IN",1498
100,"Silver Spring, MD",1477
101,"Yaphank, NY",1438
102,"Valley, AL",1432
103,"Omaha, NE",1424
104,"Florence, SC",1414
105,"La Crescenta, CA",1385
106,"Bethesda, MD",1378
107,"Columbus, OH",1370
108,"Dearborn, MI",1365
109,"Millsboro, DE",1359
110,"Pasadena, CA",1345
111,"Charleston, SC",1339
112,"Ankeny, IA",1323
113,"Roanoke, VA",1309
114,"Staten Island, NY",1304
115,"Cromwell, CT",1304
116,"Scottsdale, AZ",1280
117,"brooklyn, NY",1263
118,"Bergen NORWAY, WA",1262
119,"Bellevue, WA",1250
120,"Marietta, GA",1241
121,"Salt Lake City, UT",1232
122,"Norwalk, CT",1229
123,"Knoxville, TN",1224
124,"Chesapeake, VA",1199
125,"los angeles, CA",1197
126,"Burbank, CA",1181
127,"Cypress, TX",1178
128,"Fairfax, VA",1173
129,"Colorado Springs, CO",1171
130,"Rock Island, IL",1121
131,"New Haven, CT",1117
132,"*, IL",1099
133,"Hampton, VA",1086
134,"Fairfield, CT",1081
135,"Santa Clara, CA",1077
136,"Astoria, NY",1058
137,"Oxnard, CA",1057
138,"Glendale, CA",1045
139,"Jersey City, NJ",1037
140,"san francisco, CA",1034
141,"Sherman Oaks, CA",1031
142,"Menlo Park, CA",1030
143,"Beaverton, OR",1025
144,"Bridgeport, CT",1021
145,"Fremont, CA",1017
146,"Ann Arbor, MI",1013
147,"NYC, NY",1010
148,"Saint Louis, MO",1006
149,"Columbia, SC",997
150,"San Mateo, CA",991
151,"Madison, WI",985
152,"Livermore, CA",976
153,"Stamford, CT",970
154,"Bloomington, IL",953
155,"Hesperia, CA",949
156,"Hillsborough, NC",948
157,"Wilmington, DE",948
158,"Fresno, CA",940
159,"Rochester, NY",937
160,"Naperville, IL",934
161,"Germantown, MD",926
162,"Oak Park, IL",924
163,"Hot Springs, AR",915
164,"Riverview, FL",915
165,"Daphne, AL",903
166,"Walnut Creek, CA",902
167,"Belle Harbor, NY",896
168,"Cordova, TN",896
169,"Carmel, IN",893
170,"Forest Hills, NY",885
171,"Downey, CA",873
172,"Garland, TX",873
173,"Lompoc, CA",872
174,"Clermont, FL",872
175,"Flushing, NY",871
176,"Chico, CA",870
177,"Bayou La Batre, AL",867
178,"Santa Rosa, CA",862
179,"Alameda, CA",859
180,"Jacksonville, FL",846
181,"Columbia, MD",845
182,"Redmond, WA",843
183,"Vancouver, WA",839
184,"Detroit, MI",838
185,"Georgetown, SC",835
186,"Oceanside, CA",835
187,"Toccoa, GA",829
188,"Spooner, WI",829
189,"Amity Harbor, NY",828
190,"Valrico, FL",826
191,"Costa Mesa, CA",825
192,"Franklin, TN",824
193,"Somerville, MA",820
194,"Charlottesville, VA",815
195,"Royal Oak, MI",811
196,"Carson, CA",811
197,"Goleta, CA",808
198,"Groveland, FL",808
199,"Katy, TX",805
200,"Redwood City, CA",803
201,"Baton Rouge, LA",802
202,"NEW YORK, NY",796
203,"Pinellas Park, FL",794
204,"Cedar Park, TX",781
205,"Brandon, FL",779
206,"Providence, RI",773
207,"Princeton, NJ",772
208,"Wesley Chapel, FL",771
209,"Concord, CA",768
210,"Dunlap, TN",767
211,"Spokane, WA",762
212,"Huntington Beach, CA",756
213,"Anaheim, CA",755
214,"Hoboken, NJ",754
215,"Plano, TX",754
216,"Hudson, ME",752
217,"Thousand Oaks, CA",744
218,"MURCHISON, TX",738
219,"Champaign, IL",733
220,"Tavares, FL",733
221,"Greer, SC",732
222,"Danville, CA",724
223,"Lake City, FL",720
224,"Decatur, GA",717
225,"Fayetteville, NC",716
226,"Malden Bridge, NY",712
227,"Beverly Hills, CA",711
228,"Northridge, CA",710
229,"Schaumburg, IL",700
230,"Poughkeepsie, NY",695
231,"Orange, CA",695
232,"Apex, NC",694
233,"Newton, MA",693
234,"Gilbert, AZ",690
235,"Virginia Beach, VA",689
236,"Vienna, VA",688
