"zip","med_inc","pop","party"
"00601",12041,NA,NA
"00602",15663,NA,NA
"00603",15485,NA,NA
"00606",15019,NA,NA
"00610",16707,NA,NA
"00612",17848,NA,NA
"00616",15342,NA,NA
"00617",14982,NA,NA
"00622",14281,NA,NA
"00623",17389,NA,NA
"00624",14768,NA,NA
"00627",19527,NA,NA
"00631",11596,NA,NA
"00637",16430,NA,NA
"00638",13860,NA,NA
"00641",14924,NA,NA
"00646",28306,NA,NA
"00647",13925,NA,NA
"00650",16133,NA,NA
"00652",12809,NA,NA
"00653",12595,NA,NA
"00656",15054,NA,NA
"00659",19199,NA,NA
"00660",21107,NA,NA
"00662",15600,NA,NA
"00664",19342,NA,NA
"00667",14081,NA,NA
"00669",11790,NA,NA
"00670",15817,NA,NA
"00674",18048,NA,NA
"00676",14697,NA,NA
"00677",15875,NA,NA
"00678",14877,NA,NA
"00680",15115,NA,NA
"00682",15067,NA,NA
"00683",15587,NA,NA
"00685",14623,NA,NA
"00687",14797,NA,NA
"00688",14148,NA,NA
"00690",19474,NA,NA
"00692",18500,NA,NA
"00693",16406,NA,NA
"00694",10750,NA,NA
"00698",15099,NA,NA
"00703",14673,NA,NA
"00704",12612,NA,NA
"00705",15892,NA,NA
"00707",18446,NA,NA
"00714",16350,NA,NA
"00715",14114,NA,NA
"00716",18878,NA,NA
"00717",12407,NA,NA
"00718",17123,NA,NA
"00719",16672,NA,NA
"00720",14903,NA,NA
"00723",14506,NA,NA
"00725",20926,NA,NA
"00727",29433,NA,NA
"00728",18637,NA,NA
"00729",22438,NA,NA
"00730",16259,NA,NA
"00731",15733,NA,NA
"00735",19615,NA,NA
"00736",21206,NA,NA
"00738",22140,NA,NA
"00739",24638,NA,NA
"00740",11026,NA,NA
"00741",18397,NA,NA
"00745",23275,NA,NA
"00751",13565,NA,NA
"00754",17904,NA,NA
"00757",18033,NA,NA
"00765",17500,NA,NA
"00766",16517,NA,NA
"00767",17306,NA,NA
"00769",17710,NA,NA
"00771",18553,NA,NA
"00772",16432,NA,NA
"00773",18593,NA,NA
"00775",16188,NA,NA
"00777",18574,NA,NA
"00778",27475,NA,NA
"00780",21706,NA,NA
"00782",12527,NA,NA
"00783",16201,NA,NA
"00784",17540,NA,NA
"00786",22656,NA,NA
"00791",20364,NA,NA
"00794",14986,NA,NA
"00795",17278,NA,NA
"00901",13620,NA,NA
"00906",NA,NA,NA
"00907",32570,NA,NA
"00909",16891,NA,NA
"00911",26611,NA,NA
"00912",18960,NA,NA
"00913",6926,NA,NA
"00915",13150,NA,NA
"00917",16802,NA,NA
"00918",26573,NA,NA
"00920",25463,NA,NA
"00921",18417,NA,NA
"00923",15959,NA,NA
"00924",19510,NA,NA
"00925",12847,NA,NA
"00926",35308,NA,NA
"00927",34572,NA,NA
"00934",82721,NA,NA
"00936",NA,NA,NA
"00949",25514,NA,NA
"00950",NA,NA,NA
"00951",NA,NA,NA
"00952",18768,NA,NA
"00953",28488,NA,NA
"00956",22212,NA,NA
"00957",23736,NA,NA
"00959",26264,NA,NA
"00960",NA,NA,NA
"00961",29931,NA,NA
"00962",16128,NA,NA
"00965",16139,NA,NA
"00966",52463,NA,NA
"00968",41936,NA,NA
"00969",50811,NA,NA
"00971",23241,NA,NA
"00976",30372,NA,NA
"00979",37906,NA,NA
"00982",26148,NA,NA
"00983",27125,NA,NA
"00985",25509,NA,NA
"00987",31546,NA,NA
"01001",58733,16769,"Democratic"
"01002",54422,29049,"Democratic"
"01003",NA,10372,"Democratic"
"01005",68644,5079,"Democratic"
"01007",71875,14649,"Democratic"
"01008",71635,1263,"Democratic"
"01009",38644,741,"Democratic"
"01010",81196,3609,"Democratic"
"01011",64891,1370,"Democratic"
"01012",58750,661,"Democratic"
"01013",41273,23188,"Democratic"
"01020",51255,29668,"Democratic"
"01022",58938,2451,"Democratic"
